Config_FD,N_FD,Rumore_%,Fold,Seed,Modello,IM,IP,IH,IH_min,IM_FD1,IM_FD2,IM_FD3,IM_FD4,Colonne_sporcate,Righe_train,Righe_train_sporcate,Righe_test,Righe_test_modificate,Accuracy,Precision,Recall,F1_weighted,F1_macro,Tempo_s,Iterazioni,Tempo_lavoro_s,Baseline_condivisa
C1,1,10,2,1210,Decision Tree,2024,2285,318,318,2024,,,,10,44514,4451,22256,0,0.969176851186197,0.9691501186579811,0.969176851186197,0.9691546730212653,0.969154114765568,6.8,,289.3,False
C1,1,10,2,1210,Neural Network,2024,2285,318,318,2024,,,,10,44514,4451,22256,0,0.9670650611071172,0.9670363941650094,0.9670650611071172,0.9670122755634919,0.9670116804836507,261.6,133.0,289.3,False
C1,1,10,1,1110,Logistic Regression,1788,2088,322,322,1788,,,,10,44513,4451,22257,0,0.93417801141214,0.9340033134487667,0.93417801141214,0.9339711712578388,0.9339710576730781,3.6,182.0,332.0,False
C1,1,10,1,1110,Random Forest,1788,2088,322,322,1788,,,,10,44513,4451,22257,0,0.976097407557173,0.97607536550741,0.976097407557173,0.9760402770723356,0.976040251164277,17.5,,332.0,False
C1,1,10,1,1110,Decision Tree,1788,2088,322,322,1788,,,,10,44513,4451,22257,0,0.9694478141708227,0.9694552724283746,0.9694478141708227,0.9694505410221105,0.9694505702017089,7.0,,332.0,False
C1,1,10,1,1110,Neural Network,1788,2088,322,322,1788,,,,10,44513,4451,22257,0,0.9690883766904794,0.9690441730694855,0.9690883766904794,0.9690546208084566,0.9690546509778027,302.9,160.0,332.0,False
C2,2,10,0,1010,Logistic Regression,123850,42372,4084,4042,2038,121812,,,11,44513,4451,22257,0,0.8647167183358044,0.8641328493852909,0.8647167183358044,0.8642460283596813,0.8642471930784794,5.4,302.0,334.1,False
C2,2,10,0,1010,Random Forest,123850,42372,4084,4042,2038,121812,,,11,44513,4451,22257,0,0.9738958529900705,0.973884995018276,0.9738958529900705,0.9738260033769757,0.9738263388838095,18.4,,334.1,False
C2,2,10,0,1010,Decision Tree,123850,42372,4084,4042,2038,121812,,,11,44513,4451,22257,0,0.9671114705485915,0.9670763165433627,0.9671114705485915,0.9670525952686062,0.9670530827582787,9.3,,334.1,False
C2,2,10,0,1010,Neural Network,123850,42372,4084,4042,2038,121812,,,11,44513,4451,22257,0,0.9679202048793638,0.9679009715495276,0.9679202048793638,0.9678998204185426,0.9679002264924836,300.2,156.0,334.1,False
C2,2,10,1,1110,Logistic Regression,121507,42112,4063,4020,1788,119719,,,11,44513,4451,22257,0,0.8661095385721346,0.8654319222899931,0.8661095385721346,0.8655609246285734,0.8655607128643108,4.5,251.0,257.9,False
C2,2,10,1,1110,Random Forest,121507,42112,4063,4020,1788,119719,,,11,44513,4451,22257,0,0.9760075481870872,0.9759737243477061,0.9760075481870872,0.9759614820867925,0.9759614584695422,21.7,,257.9,False
C2,2,10,1,1110,Decision Tree,121507,42112,4063,4020,1788,119719,,,11,44513,4451,22257,0,0.9681448533045783,0.968113901121926,0.9681448533045783,0.9681280245661752,0.968127940140542,10.5,,257.9,False
C2,2,10,1,1110,Neural Network,121507,42112,4063,4020,1788,119719,,,11,44513,4451,22257,0,0.9703464078716808,0.9702922044426474,0.9703464078716808,0.9703029273071888,0.9703029350043308,220.3,122.0,257.9,False
C2,2,10,2,1210,Logistic Regression,122619,42963,4058,4000,2024,120595,,,11,44514,4451,22256,0,0.8642163910855499,0.8635316757989177,0.8642163910855499,0.8637181785537608,0.8637171817056,4.6,289.0,299.5,False
