Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
30,2,102,Decision Tree,2367,2964,999,0.8651,0.8652,0.8651,0.8649,0.0128,0.013,0.9116,0.9114,0.9116,0.9113,0.0086,0.0087,0.2952
30,2,102,Neural Network,2367,2964,999,0.7905,0.7901,0.7905,0.79,0.0129,0.013,0.8962,0.8956,0.8962,0.8957,0.0062,0.0061,0.2952
30,3,103,Logistic Regression,2213,2831,989,0.8425,0.8421,0.8425,0.842,0.0083,0.0081,0.8879,0.8875,0.8879,0.8873,0.0081,0.0081,0.2952
30,3,103,Random Forest,2213,2831,989,0.8632,0.8636,0.8632,0.8631,0.0047,0.0048,0.9205,0.9204,0.9205,0.9201,0.0035,0.0036,0.2952
30,3,103,Decision Tree,2213,2831,989,0.8586,0.8589,0.8586,0.8586,0.0088,0.0088,0.9079,0.9078,0.9079,0.9076,0.008,0.0081,0.2952
30,3,103,Neural Network,2213,2831,989,0.7812,0.7809,0.7812,0.7808,0.013,0.0128,0.8954,0.8954,0.8954,0.8951,0.0079,0.008,0.2952
30,4,104,Logistic Regression,2324,3003,996,0.8387,0.8383,0.8387,0.8381,0.0076,0.0071,0.8857,0.8854,0.8857,0.8851,0.0109,0.0109,0.3001
30,4,104,Random Forest,2324,3003,996,0.8596,0.8605,0.8596,0.8597,0.0131,0.0128,0.9167,0.9167,0.9167,0.9163,0.0029,0.003,0.3001
30,4,104,Decision Tree,2324,3003,996,0.8592,0.859,0.8592,0.859,0.0082,0.0083,0.9047,0.9048,0.9047,0.9046,0.0064,0.0063,0.3001
30,4,104,Neural Network,2324,3003,996,0.7723,0.7725,0.7723,0.7722,0.0062,0.0059,0.8909,0.8906,0.8909,0.8906,0.0083,0.0084,0.3001
