Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
40,2,102,Random Forest,2605,3466,1341,0.6764,0.6809,0.6764,0.6771,0.0126,0.0125,0.9074,0.9072,0.9074,0.907,0.0064,0.0065,0.3942
40,2,102,Decision Tree,2605,3466,1341,0.633,0.6343,0.633,0.6331,0.0121,0.0127,0.893,0.8931,0.893,0.8928,0.0052,0.005,0.3942
40,2,102,Neural Network,2605,3466,1341,0.6349,0.6353,0.6349,0.6348,0.0046,0.0044,0.8758,0.8756,0.8758,0.8755,0.0052,0.0053,0.3942
40,3,103,Logistic Regression,2847,3786,1430,0.5292,0.527,0.5292,0.5276,0.0176,0.0188,0.6979,0.6947,0.6979,0.6959,0.0187,0.0193,0.3952
40,3,103,Random Forest,2847,3786,1430,0.6703,0.6731,0.6703,0.6704,0.0094,0.01,0.9048,0.9047,0.9048,0.9046,0.0045,0.0045,0.3952
40,3,103,Decision Tree,2847,3786,1430,0.631,0.6316,0.631,0.6311,0.0106,0.0108,0.8933,0.8932,0.8933,0.8932,0.006,0.006,0.3952
40,3,103,Neural Network,2847,3786,1430,0.6242,0.6244,0.6242,0.624,0.0106,0.0108,0.8611,0.8608,0.8611,0.8607,0.0069,0.0069,0.3952
40,4,104,Logistic Regression,2879,3913,1449,0.5125,0.51,0.5125,0.5105,0.0098,0.01,0.6972,0.6935,0.6972,0.6947,0.0176,0.0179,0.3989
40,4,104,Random Forest,2879,3913,1449,0.6755,0.6785,0.6755,0.6759,0.0067,0.0066,0.9063,0.9061,0.9063,0.9059,0.0063,0.0063,0.3989
40,4,104,Decision Tree,2879,3913,1449,0.6287,0.629,0.6287,0.6284,0.0061,0.0065,0.8931,0.8927,0.8931,0.8926,0.0094,0.0098,0.3989
40,4,104,Neural Network,2879,3913,1449,0.6169,0.6165,0.6169,0.616,0.0154,0.0159,0.8666,0.8663,0.8666,0.8662,0.0054,0.0059,0.3989
